address,categoryName,claimThisBusiness,googleFoodUrl,hotelStars,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,price,rank,state,street,title,totalScore,url,website,reviewsCount
"237 Đ. Trần Phú, Phường 9, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Phòng trưng bày nghệ thuật,FALSE,,,10.7583519,106.6753382,Thứ Tư,08:00 to 20:00,Thứ Năm,08:00 to 20:00,Thứ Sáu,08:00 to 20:00,Thứ Bảy,08:00 to 20:00,Chủ Nhật,08:00 to 19:00,Thứ Hai,08:00 to 20:00,Thứ Ba,08:00 to 20:00,,22,"Quận 5, Thành phố Hồ Chí Minh",237 Đ. Trần Phú,A&EM Art Gallery,5,https://www.google.com/maps/search/?api=1&query=A%26EM%20Art%20Gallery&query_place_id=ChIJPXsCseIudTERKlbuwruVdAY,http://tranhvedep.com/,16
"268 Đ. Trần Hưng Đạo, Phường 11, Quận 5, Thành phố Hồ Chí Minh 60000, Việt Nam",Khu công nghệ,TRUE,,,10.7523919,106.6642068,,,,,,,,,,,,,,,,43,"Quận 5, Thành phố Hồ Chí Minh",268 Đ. Trần Hưng Đạo,Công Ty Tnhh Spark Technology,,https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20Ty%20Tnhh%20Spark%20Technology&query_place_id=ChIJhwpDV_cudTERNIy3R74Zn78,,0
"654 Đ. Nguyễn Trãi, Phường 11, Quận 5, Hồ Chí Minh, Việt Nam",Nhà hàng,TRUE,,,10.7534137,106.6627453,Thứ Tư,08:30 to 21:00,Thứ Năm,08:30 to 21:00,Thứ Sáu,08:30 to 21:00,Thứ Bảy,08:30 to 21:00,Chủ Nhật,08:30 to 21:00,Thứ Hai,08:30 to 21:00,Thứ Ba,08:30 to 21:00,,35,"Quận 5, Hồ Chí Minh",654 Đ. Nguyễn Trãi,Quán Gà Ri Ngon,3.7,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20G%C3%A0%20Ri%20Ngon&query_place_id=ChIJn1TgyvAudTERHElSTaKPDEc,,3
"84 Đ. Tản Đà, Phường 11, Quận 5, Hồ Chí Minh, Việt Nam",Bãi đỗ xe máy,TRUE,,,10.7529441,106.6645239,,,,,,,,,,,,,,,,38,"Quận 5, Hồ Chí Minh",84 Đ. Tản Đà,"Bãi Đỗ Xe Máy ( Toà nhà Tản Đà court, OPPO, ...)",,https://www.google.com/maps/search/?api=1&query=B%C3%A3i%20%C4%90%E1%BB%97%20Xe%20M%C3%A1y%20(%20To%C3%A0%20nh%C3%A0%20T%E1%BA%A3n%20%C4%90%C3%A0%20court%2C%20OPPO%2C%20...)&query_place_id=ChIJqf0YsXEvdTER_afEkWjaw0M,,0
"66/14 Nghĩa Thục, Phường 5, Quận 5, Hồ Chí Minh 70000, Việt Nam",Chùa phật giáo,FALSE,,,10.7533702,106.6752996,Thứ Tư,07:00 to 19:00,Thứ Năm,07:00 to 19:00,Thứ Sáu,07:00 to 19:00,Thứ Bảy,07:00 to 19:00,Chủ Nhật,07:00 to 19:00,Thứ Hai,07:00 to 19:00,Thứ Ba,07:00 to 19:00,,22,"Quận 5, Hồ Chí Minh",66/14 Nghĩa Thục,Chùa Vạn Phật,4.7,https://www.google.com/maps/search/?api=1&query=Ch%C3%B9a%20V%E1%BA%A1n%20Ph%E1%BA%ADt&query_place_id=ChIJ3ztE7v0udTERWWcA_rEtgPU,,1806
"479 Đ. An Dương Vương, Phường 8, Quận 5, Hồ Chí Minh, Việt Nam",Cửa hàng tiện lợi,FALSE,,,10.7579165,106.6757137,Thứ Tư,Mở cửa cả ngày,Thứ Năm,Mở cửa cả ngày,Thứ Sáu,Mở cửa cả ngày,Thứ Bảy,Mở cửa cả ngày,Chủ Nhật,Mở cửa cả ngày,Thứ Hai,Mở cửa cả ngày,Thứ Ba,Mở cửa cả ngày,,35,"Quận 5, Hồ Chí Minh",479 Đ. An Dương Vương,7-Eleven - 479 An Dương Vương,3.6,https://www.google.com/maps/search/?api=1&query=7-Eleven%20-%20479%20An%20D%C6%B0%C6%A1ng%20V%C6%B0%C6%A1ng&query_place_id=ChIJa7i4WWAvdTERYRNh7o-gf6Y,https://www.7-eleven.vn/,29
"173 Đ. Trần Phú, Phường 4, Quận 5, Hồ Chí Minh, Việt Nam",Điểm thu hút khách du lịch,TRUE,,,10.759579,106.6763841,,,,,,,,,,,,,,,,9,"Quận 5, Hồ Chí Minh",173 Đ. Trần Phú,Thư Pháp Võ Dương,,https://www.google.com/maps/search/?api=1&query=Th%C6%B0%20Ph%C3%A1p%20V%C3%B5%20D%C6%B0%C6%A1ng&query_place_id=ChIJXV2u3o8vdTERvprHSxv_boM,,0
"132 Bùi Hữu Nghĩa, Phường 7, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Điểm thu hút khách du lịch,FALSE,,,10.755305,106.6745049,Thứ Tư,Mở cửa cả ngày,Thứ Năm,Mở cửa cả ngày,Thứ Sáu,Mở cửa cả ngày,Thứ Bảy,Mở cửa cả ngày,Chủ Nhật,Mở cửa cả ngày,Thứ Hai,Mở cửa cả ngày,Thứ Ba,Mở cửa cả ngày,,1,"Quận 5, Thành phố Hồ Chí Minh",132 Bùi Hữu Nghĩa,Vietnam Motorbike Tours,5,https://www.google.com/maps/search/?api=1&query=Vietnam%20Motorbike%20Tours&query_place_id=ChIJ-ZfoFRAvdTEREXc2bqiiHUM,http://viet-nammotorbiketours.com/,1
"114- 118 Đ. Trần Bình Trọng, Phường 2, Quận 5, Hồ Chí Minh, Việt Nam",Điểm thu hút khách du lịch,TRUE,,,10.7559518,106.6814159,Thứ Tư,06:00 to 18:00,Thứ Năm,06:00 to 18:00,Thứ Sáu,06:00 to 18:00,Thứ Bảy,06:00 to 18:00,Chủ Nhật,06:00 to 18:00,Thứ Hai,06:00 to 18:00,Thứ Ba,06:00 to 18:00,,24,"Quận 5, Hồ Chí Minh",114- 118 Đ. Trần Bình Trọng,Lăng mộ Pétrus Trương Vĩnh Ký,4.3,https://www.google.com/maps/search/?api=1&query=L%C4%83ng%20m%E1%BB%99%20P%C3%A9trus%20Tr%C6%B0%C6%A1ng%20V%C4%A9nh%20K%C3%BD&query_place_id=ChIJc1lXZQMvdTERicrAojAuTUM,,31
"188 Đ. Trần Hưng Đạo, Phường 11, Quận 5, Hồ Chí Minh 74000, Việt Nam",Quán cà phê,FALSE,"https://food.google.com/chooseprovider?restaurantId=/g/1hc8p8w6f&g2lbs=AOHF13kns61aYY_kICo2KlYwGg5yXHunvVhZ8xg0GvtOt2zlrKUeMgkYRr1iFK_wqtkeUr9gvaPSgFUKxqKXjso0s2HHkLwtOMbvRlaP5TZuMB3s5YTB40w%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=ucRyZsmTGubbkPIPs9ybqAQ&ei=ucRyZsmTGubbkPIPs9ybqAQ&fo_s=OA,SOE&opi=79508299&foub=mcpp",,10.752614,106.6665848,Thứ Tư,07:00 to 21:30,Thứ Năm,07:00 to 21:30,Thứ Sáu,07:00 to 21:30,Thứ Bảy,07:00 to 21:30,Chủ Nhật,07:00 to 21:30,Thứ Hai,07:00 to 21:30,Thứ Ba,07:00 to 21:30,$$,36,"Quận 5, Hồ Chí Minh",188 Đ. Trần Hưng Đạo,Phúc Long Tea & Coffee - 188 Trần Hưng Đạo,4,https://www.google.com/maps/search/?api=1&query=Ph%C3%BAc%20Long%20Tea%20%26%20Coffee%20-%20188%20Tr%E1%BA%A7n%20H%C6%B0ng%20%C4%90%E1%BA%A1o&query_place_id=ChIJZzY2ifkudTER_34FHcP3dro,http://phuclong.com.vn/,508
"118 Đ. Triệu Quang Phục, Phường 11, Quận 5, Hồ Chí Minh, Việt Nam",Nơi thờ cúng,TRUE,,,10.7525813,106.6617316,Thứ Tư,06:00 to 16:00,Thứ Năm,06:00 to 16:00,Thứ Sáu,06:00 to 16:00,Thứ Bảy,06:00 to 16:00,Chủ Nhật,06:00 to 16:00,Thứ Hai,06:00 to 16:00,Thứ Ba,06:00 to 16:00,,24,"Quận 5, Hồ Chí Minh",118 Đ. Triệu Quang Phục,三山會館-Tam Son Hoi Quan Pagoda,4.3,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E5%B1%B1%E6%9C%83%E9%A4%A8-Tam%20Son%20Hoi%20Quan%20Pagoda&query_place_id=ChIJWUdbKPcudTERNg2K-6iWwmY,https://vietnamdiscovery.com/ho-chi-minh-city/attractions/tam-son-hoi-quan-pagoda/,133
"Parkson Hung Vuong Plaza, 126 Đ. Hồng Bàng, Phường 12, Quận 5, Hồ Chí Minh, Việt Nam",Rạp chiếu phim,FALSE,,,10.756071,106.6629104,,,,,,,,,,,,,,,,37,"Quận 5, Hồ Chí Minh","Parkson Hung Vuong Plaza, 126 Đ. Hồng Bàng",CGV Hùng Vương Plaza,4.3,https://www.google.com/maps/search/?api=1&query=CGV%20H%C3%B9ng%20V%C6%B0%C6%A1ng%20Plaza&query_place_id=ChIJb88yivAudTERWWtOy5eIbXk,https://www.cgv.vn/,2710
"143 Đ. Nguyễn Tri Phương, Phường 8, Quận 5, Hồ Chí Minh, Việt Nam",Tiệm bánh,FALSE,,,10.7552956,106.6693348,Thứ Tư,06:30 to 22:00,Thứ Năm,06:30 to 22:00,Thứ Sáu,06:30 to 22:00,Thứ Bảy,06:30 to 22:00,Chủ Nhật,06:30 to 22:00,Thứ Hai,06:30 to 22:00,Thứ Ba,06:30 to 22:00,$$,40,"Quận 5, Hồ Chí Minh",143 Đ. Nguyễn Tri Phương,BreadTalk Nguyễn Tri Phương,3.9,https://www.google.com/maps/search/?api=1&query=BreadTalk%20Nguy%E1%BB%85n%20Tri%20Ph%C6%B0%C6%A1ng&query_place_id=ChIJobbMgvsudTERIQ9k-9OS3-Q,http://www.breadtalkvietnam.com/,101
"06 Đ. Phan Phú Tiên, Phường 10, Quận 5, Hồ Chí Minh, Việt Nam",Khách sạn,TRUE,,,10.7512625,106.6657364,,,,,,,,,,,,,,,,27,"Quận 5, Hồ Chí Minh",06 Đ. Phan Phú Tiên,Nhà Cho Thuê Lê Thanh Danh,3.5,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20Cho%20Thu%C3%AA%20L%C3%AA%20Thanh%20Danh&query_place_id=ChIJ6aZg6_kudTERmsSOhTK2wTM,,2
