"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.5917399","106.7915985",,,,,,,,,,,,,,,,"38","Cần Giờ, Hồ Chí Minh",,"Thanh Tâm",,"https://www.google.com/maps/search/?api=1&query=Thanh%20T%C3%A2m&query_place_id=ChIJ_zj2TWo5dTERsP7wCoPBRuo",,"0"
"HRPG+XHF, Tam Thôn Hiệp, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.5874478","106.8264144",,,,,,,,,,,,,,,,"34","Cần Giờ, Hồ Chí Minh","HRPG+XHF","Quán Ăn Ái Liên","3.9","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20%C3%81i%20Li%C3%AAn&query_place_id=ChIJO2MSNLY-dTERqJKPZ4pXlPY",,"67"
"Tam Thôn Hiệp, An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","false",,,"10.5884443","106.8287509","Thứ Ba","06:00 to 20:00","Thứ Tư","06:00 to 20:00","Thứ Năm","06:00 to 20:00","Thứ Sáu","06:00 to 20:00","Thứ Bảy","06:00 to 20:00","Chủ Nhật","06:00 to 20:00","Thứ Hai","06:00 to 20:00",,"33","Cần Giờ, Hồ Chí Minh","Tam Thôn Hiệp","Quán Phở Phú Thành","3.6","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Ph%E1%BB%9F%20Ph%C3%BA%20Th%C3%A0nh&query_place_id=ChIJbYm-xQ0_dTERESBWKIPCafo",,"8"
"HQVR+3FM, An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.5927659","106.7911602",,,,,,,,,,,,,,,,"32","Cần Giờ, Hồ Chí Minh","HQVR+3FM","CáViênChiên",,"https://www.google.com/maps/search/?api=1&query=C%C3%A1Vi%C3%AAnChi%C3%AAn&query_place_id=ChIJawN8WQA5dTERb0aJQPMInwE",,"0"
"114 Tam Thôn Hiệp, An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.5875765","106.8255027","Thứ Ba","06:00 to 18:00","Thứ Tư","06:00 to 18:00","Thứ Năm","06:00 to 18:00","Thứ Sáu","06:00 to 18:00","Thứ Bảy","06:00 to 18:00","Chủ Nhật","06:00 to 18:00","Thứ Hai","06:00 to 18:00",,"31","Cần Giờ, Hồ Chí Minh","114 Tam Thôn Hiệp","Quán Ăn Xuân Thành","3.2","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20Xu%C3%A2n%20Th%C3%A0nh&query_place_id=ChIJn9SmPrY-dTERu2v73bj7cEQ",,"13"
"Tổ 17 An Hoà, An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.5910663","106.7963535",,,,,,,,,,,,,,,,"30","Cần Giờ, Hồ Chí Minh","Tổ 17 An Hoà","Bún riêu- bún thịt nướng",,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20ri%C3%AAu-%20b%C3%BAn%20th%E1%BB%8Bt%20n%C6%B0%E1%BB%9Bng&query_place_id=ChIJa7hYIzM5dTERgEVUXDe7D4g",,"0"
"HRPG+XC8, Ấp An Nghĩa Xã An Thế Đông, An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.5874179","106.8260878","Thứ Ba","07:00 to 21:00","Thứ Tư","07:00 to 21:00","Thứ Năm","07:00 to 21:00","Thứ Sáu","07:00 to 21:00","Thứ Bảy","07:00 to 21:00","Chủ Nhật","07:00 to 21:00","Thứ Hai","07:00 to 21:00",,"28","Cần Giờ, Hồ Chí Minh","HRPG+XC8, Ấp An Nghĩa Xã An Thế Đông","Quán ăn Bé Hai","4.4","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%83n%20B%C3%A9%20Hai&query_place_id=ChIJNyKXH9I_dTERoO0g3jEqNxQ",,"8"
"15 Tam Thôn Hiệp, An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.5876144","106.8267583","Thứ Ba","08:00 to 20:00","Thứ Tư","08:00 to 20:00","Thứ Năm","08:00 to 20:00","Thứ Sáu","08:00 to 20:00","Thứ Bảy","08:00 to 20:00","Chủ Nhật","08:00 to 20:00","Thứ Hai","08:00 to 20:00",,"27","Cần Giờ, Hồ Chí Minh","15 Tam Thôn Hiệp","CHỢ ĐẸP","4.2","https://www.google.com/maps/search/?api=1&query=CH%E1%BB%A2%20%C4%90%E1%BA%B8P&query_place_id=ChIJLw_81Z4_dTERNIUfvzmOh88",,"9"
"HRPG+M6M, Tam Thôn Hiệp, An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.586713","106.825556","Thứ Ba","14:30 to 21:30","Thứ Tư","14:30 to 21:30","Thứ Năm","14:30 to 21:30","Thứ Sáu","14:30 to 21:30","Thứ Bảy","09:00 to 17:00","Chủ Nhật","Đóng cửa","Thứ Hai","14:30 to 21:30",,"25","Cần Giờ, Hồ Chí Minh","HRPG+M6M, Tam Thôn Hiệp","Hủ tiếu Thành Đạt An Nghĩa","4","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20ti%E1%BA%BFu%20Th%C3%A0nh%20%C4%90%E1%BA%A1t%20An%20Ngh%C4%A9a&query_place_id=ChIJE6xbyQQ_dTERK444sLpvRAs",,"14"
"HRQF+9GX, Rừng Sác, An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.5884945","106.8238635","Thứ Ba","16:00 to 22:30","Thứ Tư","16:00 to 22:30","Thứ Năm","16:00 to 22:30","Thứ Sáu","16:00 to 22:30","Thứ Bảy","16:00 to 22:30","Chủ Nhật","16:00 to 22:30","Thứ Hai","16:00 to 22:30",,"23","Cần Giờ, Hồ Chí Minh","HRQF+9GX, Rừng Sác","Quán ăn Dân Gian","4","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%83n%20D%C3%A2n%20Gian&query_place_id=ChIJdYQBzRQ_dTER8Nl4QnRv8Y0",,"3"
