"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"157/36 Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng Thái Lan","false",,,"10.8057781","106.714568","Thứ Tư","10:00 to 15:00, 16:30 to 21:00","Thứ Năm","10:00 to 15:00, 16:30 to 21:00","Thứ Sáu","10:00 to 15:00, 16:30 to 21:00","Thứ Bảy","10:00 to 15:00, 16:30 to 21:00","Chủ Nhật","10:00 to 15:00, 16:30 to 21:00","Thứ Hai","10:00 to 15:00, 16:30 to 21:00","Thứ Ba","10:00 to 15:00, 16:30 to 21:00",,"18","Bình Thạnh, Hồ Chí Minh","157/36 Nguyễn Gia Trí","Hẻm Kitchen - Bếp Hẻm - Thai Food","4.3","https://www.google.com/maps/search/?api=1&query=H%E1%BA%BBm%20Kitchen%20-%20B%E1%BA%BFp%20H%E1%BA%BBm%20-%20Thai%20Food&query_place_id=ChIJFQZFHyYpdTERnsPdW9om9zQ",,"861"
"55 Hẻm 36, Phường 25, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng","false","https://food.google.com/chooseprovider?restaurantId=/g/11clzr_69r&g2lbs=AOHF13nLZZI_Jews-EEPq4adf6QaV5rZRwKbDWww8Gul8maBySxSVyHYc1DhGMpMr50OhzdhyLJzjACLzlfLvgxya9BBLVf4yAWjmlqo7GIytay1iEJDUaU%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=y_RyZozEM9LIkPIPlpKO8AE&ei=y_RyZozEM9LIkPIPlpKO8AE&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.803744","106.716261","Thứ Tư","10:00 to 21:00","Thứ Năm","10:00 to 21:00","Thứ Sáu","10:00 to 21:00","Thứ Bảy","10:00 to 21:00","Chủ Nhật","10:00 to 21:00","Thứ Hai","10:00 to 21:00","Thứ Ba","10:00 to 21:00",,"20","Bình Thạnh, Hồ Chí Minh","55 Hẻm 36","Ram Quảng Ngon","4.1","https://www.google.com/maps/search/?api=1&query=Ram%20Qu%E1%BA%A3ng%20Ngon&query_place_id=ChIJvU_-kKQodTERjeH08rei_FA",,"296"
"17 Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh 72308, Việt Nam","Nhà hàng Pháp","false",,,"10.8008282","106.7182852","Thứ Tư","11:00 to 14:30, 17:30 to 21:30","Thứ Năm","11:00 to 14:30, 17:30 to 21:30","Thứ Sáu","11:00 to 14:30, 17:30 to 21:30","Thứ Bảy","11:00 to 14:30, 17:30 to 21:30","Chủ Nhật","Đóng cửa","Thứ Hai","11:00 to 14:30, 17:30 to 21:30","Thứ Ba","11:00 to 14:30, 17:30 to 21:30",,"2","Bình Thạnh, Hồ Chí Minh","17 Nguyễn Văn Thương","3C Restaurant Français","4.9","https://www.google.com/maps/search/?api=1&query=3C%20Restaurant%20Fran%C3%A7ais&query_place_id=ChIJgQ6N7f8pdTERPXYn6yL6jug","https://www.3c-restaurant.com/","63"
"432 Đ. Phạm Văn Đồng, Phường 11, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","true",,,"10.821046","106.6969818","Thứ Tư","06:00 to 14:00","Thứ Năm","06:00 to 14:00","Thứ Sáu","06:00 to 14:00","Thứ Bảy","06:00 to 14:00","Chủ Nhật","06:00 to 14:00","Thứ Hai","06:00 to 14:00","Thứ Ba","06:00 to 14:00",,"88","Bình Thạnh, Hồ Chí Minh","432 Đ. Phạm Văn Đồng","Phụ Kiện KenD","3.5","https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%A5%20Ki%E1%BB%87n%20KenD&query_place_id=ChIJyS00du0odTERGC6bu76UtHs",,"2"
"49 Nguyên Hồng, Phường 01, Gò Vấp, Hồ Chí Minh 700000, Việt Nam","Nhà hàng cơm","false",,,"10.8183595","106.6928689","Thứ Tư","09:00 to 14:00","Thứ Năm","09:00 to 14:00","Thứ Sáu","09:00 to 14:00","Thứ Bảy","09:00 to 14:00","Chủ Nhật","09:00 to 14:00","Thứ Hai","09:00 to 14:00","Thứ Ba","09:00 to 14:00",,"85","Gò Vấp, Hồ Chí Minh","49 Nguyên Hồng","QUÁN CƠM CÔ HẠ","5","https://www.google.com/maps/search/?api=1&query=QU%C3%81N%20C%C6%A0M%20C%C3%94%20H%E1%BA%A0&query_place_id=ChIJ3RYk4OopdTERWv65PgEF-Jo",,"1"
"336/98 Đ. Phan Văn Trị, Phường 11, Bình Thạnh, Thành phố Hồ Chí Minh 70000, Việt Nam","Nhà hàng","true",,,"10.819882","106.6964779",,,,,,,,,,,,,,,,"92","Bình Thạnh, Thành phố Hồ Chí Minh","336/98 Đ. Phan Văn Trị","Juju Quán",,"https://www.google.com/maps/search/?api=1&query=Juju%20Qu%C3%A1n&query_place_id=ChIJdfOljb0pdTERcno8a4Kxo0Y",,"0"
"78 Nguyên Hồng, Phường 1, Gò Vấp, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","false",,,"10.8183382","106.6922932","Thứ Tư","06:00 to 10:00","Thứ Năm","06:00 to 10:00","Thứ Sáu","06:00 to 10:00","Thứ Bảy","06:00 to 10:00","Chủ Nhật","06:30 to 10:30","Thứ Hai","06:00 to 10:00","Thứ Ba","06:00 to 10:00",,"98","Gò Vấp, Hồ Chí Minh","78 Nguyên Hồng","Xôi Cá Bống Sông Trà","5","https://www.google.com/maps/search/?api=1&query=X%C3%B4i%20C%C3%A1%20B%E1%BB%91ng%20S%C3%B4ng%20Tr%C3%A0&query_place_id=ChIJ6wKLDYYpdTERWBTdcidCbKk",,"15"
"70a Nguyên Hồng, Phường 1, Gò Vấp, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","false",,,"10.8179197","106.6930828","Thứ Tư","06:00 to 13:00, 16:00 to 20:00","Thứ Năm","06:00 to 20:00","Thứ Sáu","06:00 to 13:00, 16:00 to 20:00","Thứ Bảy","06:00 to 13:00, 16:00 to 20:00","Chủ Nhật","06:00 to 13:00, 16:00 to 20:00","Thứ Hai","06:00 to 13:00, 16:00 to 20:00","Thứ Ba","06:00 to 13:00, 16:00 to 20:00",,"90","Gò Vấp, Hồ Chí Minh","70a Nguyên Hồng","Bún bò Huế Kim Long","4.6","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20b%C3%B2%20Hu%E1%BA%BF%20Kim%20Long&query_place_id=ChIJsRUKViEpdTERnWEj71ZJS0s",,"7"
"320 Đ. Phan Văn Trị, p. 11, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","false","https://food.google.com/chooseprovider?restaurantId=/g/11fvvj8d95&g2lbs=AOHF13lcpiRn8MQbk394wjzjA38VJm7XHzkPJCBIlEBVTpu5FQALdnfHtZohEgdnoZUJyFO4Mk9aX0sig57jzFj7tS6-klRSxpPNl4j3bOAulH6Ht_Wsbuo%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3PRyZv7kAva7kPIPqZm8kAM&ei=3PRyZv7kAva7kPIPqZm8kAM&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.8172629","106.695428","Thứ Tư","12:30 to 21:00","Thứ Năm","12:30 to 21:00","Thứ Sáu","12:30 to 21:00","Thứ Bảy","12:30 to 21:00","Chủ Nhật","12:30 to 21:00","Thứ Hai","12:30 to 21:00","Thứ Ba","12:30 to 21:00",,"86","Bình Thạnh, Hồ Chí Minh","320 Đ. Phan Văn Trị","Cháo cá lóc ,bánh canh cá lóc CÔ NGỌC","3.2","https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20c%C3%A1%20l%C3%B3c%20%2Cb%C3%A1nh%20canh%20c%C3%A1%20l%C3%B3c%20C%C3%94%20NG%E1%BB%8CC&query_place_id=ChIJnZabJB4pdTERQhw7whI9Fo8",,"5"
"27bis, Đ, Nguyên Hồng, Phường 1, Gò Vấp, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.8181036","106.6915035","Thứ Tư","10:30 to 20:00","Thứ Năm","10:30 to 20:00","Thứ Sáu","10:30 to 20:00","Thứ Bảy","10:30 to 20:00","Chủ Nhật","10:30 to 20:00","Thứ Hai","10:30 to 20:00","Thứ Ba","10:30 to 20:00","$$","83","Gò Vấp, Hồ Chí Minh","27bis, Đ, Nguyên Hồng","Bánh Canh Cá Lóc Đông Hà","4.4","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20Canh%20C%C3%A1%20L%C3%B3c%20%C4%90%C3%B4ng%20H%C3%A0&query_place_id=ChIJ7_Cv3e4odTERjmOJ0Xxg0Xg",,"175"
