"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","locatedIn","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"MPWQ+MP8, Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6966531","106.739329",,"Thứ Ba","07:00 to 22:00","Thứ Tư","07:00 to 22:00","Thứ Năm","07:00 to 22:00","Thứ Sáu","07:00 to 22:00","Thứ Bảy","07:00 to 22:00","Chủ Nhật","07:00 to 22:00","Thứ Hai","07:00 to 22:00",,"35","Nhà Bè, Hồ Chí Minh","MPWQ+MP8, Huỳnh Tấn Phát","Quán Cơm Tấm Sáu Việt","5","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20T%E1%BA%A5m%20S%C3%A1u%20Vi%E1%BB%87t&query_place_id=ChIJ7T9fWLE6dTER6NeAH0XYW2c",,"1"
"329 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.6931283","106.7408357",,"Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"33","Nhà Bè, Hồ Chí Minh","329 Huỳnh Tấn Phát","Quán Cơm Tấm Bò Né Anh Thư","4.3","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20T%E1%BA%A5m%20B%C3%B2%20N%C3%A9%20Anh%20Th%C6%B0&query_place_id=ChIJ7TXeNbE6dTERuPirY-E2IKE",,"3"
"2185 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","false","https://food.google.com/chooseprovider?restaurantId=/g/11s57frky_&g2lbs=AOHF13ltfV8vrpk6RV2Xemzn_CUzSzhhPjs7pnBzdZ4iuuk4wrsYDMu91chdscTaujgN7X3VvREmMYKeuUm5DDSaaOxhqtMkgGfNdc-nLjV_jlY9XDRk7bVKQCt_2mn4w5Q692TrVvz-&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=7XB6ZsSdGams5NoP8OGniAo&ei=7XB6ZsSdGams5NoP8OGniAo&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.6907101","106.7417974",,"Thứ Ba","06:00 to 22:00","Thứ Tư","06:00 to 22:00","Thứ Năm","06:00 to 22:00","Thứ Sáu","06:00 to 22:00","Thứ Bảy","06:00 to 22:00","Chủ Nhật","06:00 to 22:00","Thứ Hai","06:00 to 22:00",,"34","Nhà Bè, Hồ Chí Minh","2185 Huỳnh Tấn Phát","Mỳ cay - Gà Rán - Trà Sữa- Ăn Vặt 79","4.2","https://www.google.com/maps/search/?api=1&query=M%E1%BB%B3%20cay%20-%20G%C3%A0%20R%C3%A1n%20-%20Tr%C3%A0%20S%E1%BB%AFa-%20%C4%82n%20V%E1%BA%B7t%2079&query_place_id=ChIJd5R1nzA7dTERM6S32aZ6YxY",,"11"
"286 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6950761","106.7384694",,"Thứ Ba","09:00 to 22:00","Thứ Tư","09:00 to 22:00","Thứ Năm","09:00 to 22:00","Thứ Sáu","09:00 to 22:00","Thứ Bảy","09:00 to 22:00","Chủ Nhật","09:00 to 22:00","Thứ Hai","09:00 to 22:00",,"32","Nhà Bè, Hồ Chí Minh","286 Huỳnh Tấn Phát","Quán Ăn Phú Quý","4","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20Ph%C3%BA%20Qu%C3%BD&query_place_id=ChIJue8h0rM6dTERDWnlvSqiZ8Q",,"3"
"19 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","true",,,"10.6970829","106.73947",,,,,,,,,,,,,,,,,"29","Nhà Bè, Hồ Chí Minh","19 Huỳnh Tấn Phát","Bò né Út Xuyến",,"https://www.google.com/maps/search/?api=1&query=B%C3%B2%20n%C3%A9%20%C3%9At%20Xuy%E1%BA%BFn&query_place_id=ChIJE3PK9YM7dTERXe4-9WkLAMM",,"0"
"48/8 Hẻm 342, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng Anh hiện đại","false","https://food.google.com/chooseprovider?restaurantId=/g/11k646cy8s&g2lbs=AOHF13nLzfSU4Wyq6cwQP1qjUCXYqowIU7D3RAEsqN3AkQ-NToSdCvZXbZBwPRxKLwG0qQvSt6Fwokyfh430f5pxbyu7E3EXRmbWH-7mVCSXOMMp4IBM1cpFMFzzwmKpR7UAyjZDEEdF&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AHF6ZpyBIvSt5NoP5Y2CkAo&ei=AHF6ZpyBIvSt5NoP5Y2CkAo&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.6939047","106.7399091",,"Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"30","Nhà Bè, Hồ Chí Minh","48/8 Hẻm 342","Ăn vặt Hùng Anh 1942/24","4.5","https://www.google.com/maps/search/?api=1&query=%C4%82n%20v%E1%BA%B7t%20H%C3%B9ng%20Anh%201942%2F24&query_place_id=ChIJ95Rc4JQ7dTER6evCgy1WPTQ",,"2"
"19 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6970972","106.7394932",,"Thứ Ba","06:00 to 22:00","Thứ Tư","06:00 to 22:00","Thứ Năm","06:00 to 22:00","Thứ Sáu","06:00 to 22:00","Thứ Bảy","06:00 to 22:00","Chủ Nhật","06:00 to 22:00","Thứ Hai","06:00 to 22:00",,"28","Nhà Bè, Hồ Chí Minh","19 Huỳnh Tấn Phát","Quán Phở 19/9","4.5","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Ph%E1%BB%9F%2019%2F9&query_place_id=ChIJVVmPCbM6dTERunsDYEY3pLo",,"2"
"KC76/2 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán mì","false",,,"10.6925582","106.7389068",,"Thứ Ba","10:00 to 20:00","Thứ Tư","10:00 to 20:00","Thứ Năm","10:00 to 20:00","Thứ Sáu","10:00 to 20:00","Thứ Bảy","10:00 to 20:00","Chủ Nhật","10:00 to 20:00","Thứ Hai","10:00 to 20:00",,"27","Nhà Bè, Hồ Chí Minh","KC76/2 Huỳnh Tấn Phát","NOODLE PLUS",,"https://www.google.com/maps/search/?api=1&query=NOODLE%20PLUS&query_place_id=ChIJrU-Sjag7dTER5MoSEOxt438",,"0"
"206/124, Huỳnh Tấn Phát, Huyện Nhà Bè, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6968102","106.7360123",,"Thứ Ba","09:00 to 21:00","Thứ Tư","09:00 to 21:00","Thứ Năm","09:00 to 21:00","Thứ Sáu","09:00 to 21:00","Thứ Bảy","09:00 to 21:00","Chủ Nhật","09:00 to 21:00","Thứ Hai","09:00 to 21:00","$$","26","Nhà Bè, Hồ Chí Minh","206/124, Huỳnh Tấn Phát, Huyện Nhà Bè","Quán Bờ Sông Thanh Thảo","4.2","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20B%E1%BB%9D%20S%C3%B4ng%20Thanh%20Th%E1%BA%A3o&query_place_id=ChIJd5jZZLI6dTERkl0bRMSDWxo","https://www.google.com/mapmaker?hl=vi","52"
"2018 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6918375","106.7410317",,"Thứ Ba","10:00 to 21:00","Thứ Tư","10:00 to 21:00","Thứ Năm","10:00 to 21:00","Thứ Sáu","10:00 to 21:00","Thứ Bảy","10:00 to 21:00","Chủ Nhật","10:00 to 21:00","Thứ Hai","10:00 to 21:00","$$","25","Nhà Bè, Hồ Chí Minh","2018 Huỳnh Tấn Phát","Quán 22","4.3","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%2022&query_place_id=ChIJtQIiK7E6dTERcqmoPBdet3M",,"71"
"MPQR+MQC, Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng châu Á","true",,,"10.6891984","106.7419047",,,,,,,,,,,,,,,,,"24","Nhà Bè, Hồ Chí Minh","MPQR+MQC, Huỳnh Tấn Phát","Cơm tấm ngô quyền",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20t%E1%BA%A5m%20ng%C3%B4%20quy%E1%BB%81n&query_place_id=ChIJU1PSdQA7dTERs4bcQG8J0wU",,"0"
"1998A Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh 700000, Việt Nam","Nhà hàng châu Á","true",,,"10.6923816","106.7408708",,,,,,,,,,,,,,,,,"22","Nhà Bè, Hồ Chí Minh","1998A Huỳnh Tấn Phát","Kiệm Bò lá lốt mỡ chài","5","https://www.google.com/maps/search/?api=1&query=Ki%E1%BB%87m%20B%C3%B2%20l%C3%A1%20l%E1%BB%91t%20m%E1%BB%A1%20ch%C3%A0i&query_place_id=ChIJiZ_LcAA7dTERUrdEln3-ZSI",,"1"
"1790 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.6977417","106.7389529",,"Thứ Ba","06:00 to 12:30, 15:30 to 21:00","Thứ Tư","06:00 to 12:30, 15:30 to 21:00","Thứ Năm","06:00 to 12:30, 15:30 to 21:00","Thứ Sáu","06:00 to 12:30, 15:30 to 21:00","Thứ Bảy","06:00 to 12:30, 15:30 to 21:00","Chủ Nhật","06:00 to 13:00","Thứ Hai","06:00 to 13:00, 15:30 to 21:00",,"8","Nhà Bè, Hồ Chí Minh","1790 Huỳnh Tấn Phát","Phở Cô Hai",,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20C%C3%B4%20Hai&query_place_id=ChIJCQKeqOo7dTERmkLRhpn67OQ",,"0"
"28/8 1971, 28/8 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng châu Á","true",,,"10.6970759","106.73967",,,,,,,,,,,,,,,,,"21","Nhà Bè, Hồ Chí Minh","28/8 1971, 28/8 Huỳnh Tấn Phát","Bò né - bò né","5","https://www.google.com/maps/search/?api=1&query=B%C3%B2%20n%C3%A9%20-%20b%C3%B2%20n%C3%A9&query_place_id=ChIJXY7lSgA7dTEReeTz42OQLqg",,"1"
"1942 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng phở","true",,,"10.6938412","106.7400256",,"Thứ Ba","07:00 to 21:00","Thứ Tư","07:00 to 21:00","Thứ Năm","07:00 to 21:00","Thứ Sáu","07:00 to 21:00","Thứ Bảy","07:00 to 21:00","Chủ Nhật","07:00 to 21:00","Thứ Hai","07:00 to 21:00",,"2","Nhà Bè, Hồ Chí Minh","1942 Huỳnh Tấn Phát","Phở Thìn 2","3.4","https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Th%C3%ACn%202&query_place_id=ChIJdQc2F6s7dTERZdTYLUoLBeA",,"7"
"94 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6924972","106.7374526",,"Thứ Ba","10:00 to 21:00","Thứ Tư","10:00 to 21:00","Thứ Năm","10:00 to 21:00","Thứ Sáu","10:00 to 21:00","Thứ Bảy","10:00 to 21:00","Chủ Nhật","10:00 to 21:00","Thứ Hai","10:00 to 21:00",,"1","Nhà Bè, Hồ Chí Minh","94 Huỳnh Tấn Phát","Quán Cô Yến ( Ăn Vặt Cô Yến)","3.8","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C3%B4%20Y%E1%BA%BFn%20(%20%C4%82n%20V%E1%BA%B7t%20C%C3%B4%20Y%E1%BA%BFn)&query_place_id=ChIJZXbLDA87dTER4aWb3sWPSrs","https://www.facebook.com/Qu%C3%A1n-%C4%82n-C%C3%B4-Y%E1%BA%BFn-624939404629840/?ref=br_rs","10"
"71 Đ. Đào Tông Nguyên, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.6842564","106.7498051",,"Thứ Ba","10:30 to 14:00","Thứ Tư","10:30 to 14:00","Thứ Năm","10:30 to 14:00","Thứ Sáu","10:30 to 14:00","Thứ Bảy","10:30 to 14:00","Chủ Nhật","10:30 to 14:00","Thứ Hai","10:30 to 14:00",,"59","Nhà Bè, Hồ Chí Minh","71 Đ. Đào Tông Nguyên","Cơm trưa Cô Thu","5","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20tr%C6%B0a%20C%C3%B4%20Thu&query_place_id=ChIJDZXUsf07dTER4U34p6_cDIQ",,"3"
"459 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6879233","106.7428625",,,,,,,,,,,,,,,,,"39","Nhà Bè, Hồ Chí Minh","459 Huỳnh Tấn Phát","Quán Thái Văn",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Th%C3%A1i%20V%C4%83n&query_place_id=ChIJFfm5w7k6dTER2vfGu8lPkO0",,"0"
"2295 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","false",,,"10.686449","106.7440011",,"Thứ Ba","09:00 to 17:00","Thứ Tư","Đóng cửa","Thứ Năm","Đóng cửa","Thứ Sáu","Đóng cửa","Thứ Bảy","Đóng cửa","Chủ Nhật","09:00 to 17:00","Thứ Hai","Mở cửa cả ngày",,"29","Nhà Bè, Hồ Chí Minh","2295 Huỳnh Tấn Phát","Phở Minh Tú",,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Minh%20T%C3%BA&query_place_id=ChIJTbYEagk7dTERWRRHe2JfnAI",,"0"
"27 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.6831568","106.7462479",,,,,,,,,,,,,,,,,"33","Nhà Bè, Hồ Chí Minh","27 Huỳnh Tấn Phát","Cơm Tấm Phi","4.8","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%E1%BA%A5m%20Phi&query_place_id=ChIJp1cu_4Q7dTERfF0u1K6TYGA",,"5"
"Hẻm 2266 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng thịt gà","true",,,"10.682339","106.7467792",,"Thứ Ba","10:30 to 21:00","Thứ Tư","10:30 to 21:00","Thứ Năm","10:30 to 21:00","Thứ Sáu","10:30 to 21:00","Thứ Bảy","10:30 to 21:00","Chủ Nhật","10:30 to 21:00","Thứ Hai","10:30 to 21:00",,"27","Nhà Bè, Hồ Chí Minh","Hẻm 2266 Huỳnh Tấn Phát","Cháo vịt Thảo","4.2","https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20v%E1%BB%8Bt%20Th%E1%BA%A3o&query_place_id=ChIJjSKpRb86dTERcNzLn1zNcgk",,"43"
"24/2 Đ. Đào Tông Nguyên, Phú Xuân, Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng châu Á","true",,,"10.6827919","106.747976",,,,,,,,,,,,,,,,,"58","Nhà Bè, Thành phố Hồ Chí Minh","24/2 Đ. Đào Tông Nguyên","Cafe - Bánh cuốn Kim","5","https://www.google.com/maps/search/?api=1&query=Cafe%20-%20B%C3%A1nh%20cu%E1%BB%91n%20Kim&query_place_id=ChIJJRIzUu87dTER94sgNDtYaUU",,"1"
"83/67/1 Đ. Đào Tông Nguyên, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán bia","false",,,"10.6856566","106.7486228",,"Thứ Ba","15:00 to 23:00","Thứ Tư","15:00 to 23:00","Thứ Năm","15:00 to 23:00","Thứ Sáu","15:00 to 23:00","Thứ Bảy","15:00 to 23:00","Chủ Nhật","15:00 to 23:00","Thứ Hai","15:00 to 23:00",,"56","Nhà Bè, Hồ Chí Minh","83/67/1 Đ. Đào Tông Nguyên","Quán Ôc Bụi 39k","4.8","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C3%94c%20B%E1%BB%A5i%2039k&query_place_id=ChIJM2WHKkQ7dTERRCVrzfT_hng",,"11"
"67/19 Đ. Đào Tông Nguyên, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán mì","true",,,"10.6840655","106.7491155",,"Thứ Ba","06:00 to 11:00","Thứ Tư","06:00 to 11:00","Thứ Năm","06:00 to 11:00","Thứ Sáu","06:00 to 11:00","Thứ Bảy","06:00 to 11:00","Chủ Nhật","06:00 to 11:00","Thứ Hai","06:00 to 11:00",,"53","Nhà Bè, Hồ Chí Minh","67/19 Đ. Đào Tông Nguyên","Hủ Tíu Tôm Mực Sườn",,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20T%C3%ADu%20T%C3%B4m%20M%E1%BB%B1c%20S%C6%B0%E1%BB%9Dn&query_place_id=ChIJnZWTXQA7dTER-JMWdpOv_NY",,"0"
"Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6827717","106.7480643",,,,,,,,,,,,,,,,,"52","Nhà Bè, Hồ Chí Minh",,"Cơm Trưa Bình Dân Phần - Dĩa - Hộp","5","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Tr%C6%B0a%20B%C3%ACnh%20D%C3%A2n%20Ph%E1%BA%A7n%20-%20D%C4%A9a%20-%20H%E1%BB%99p&query_place_id=ChIJsxpgscA6dTERx98ADTIz5qA",,"2"
"2373 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","false",,,"10.6837342","106.7458055",,"Thứ Ba","16:00 to 22:00","Thứ Tư","16:00 to 22:00","Thứ Năm","16:00 to 22:00","Thứ Sáu","16:00 to 22:00","Thứ Bảy","16:00 to 22:00","Chủ Nhật","16:00 to 22:00","Thứ Hai","16:00 to 22:00",,"50","Nhà Bè, Hồ Chí Minh","2373 Huỳnh Tấn Phát","Bột Chiên Sài Gòn","5","https://www.google.com/maps/search/?api=1&query=B%E1%BB%99t%20Chi%C3%AAn%20S%C3%A0i%20G%C3%B2n&query_place_id=ChIJ0wMu6hE7dTERQbVQpY1_kBo",,"5"
"24/9 Đ. Đào Tông Nguyên, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Tư vấn viên","true",,,"10.6823486","106.7476149",,,,,,,,,,,,,,,,,"48","Nhà Bè, Hồ Chí Minh","24/9 Đ. Đào Tông Nguyên","Passion HCS - Tư Vấn Quản Lý & Set Up Nhà Hàng Theo Tiêu Chuẩn VTOS","5","https://www.google.com/maps/search/?api=1&query=Passion%20HCS%20-%20T%C6%B0%20V%E1%BA%A5n%20Qu%E1%BA%A3n%20L%C3%BD%20%26%20Set%20Up%20Nh%C3%A0%20H%C3%A0ng%20Theo%20Ti%C3%AAu%20Chu%E1%BA%A9n%20VTOS&query_place_id=ChIJv4Q4scA6dTERvznEPudNHo4",,"1"
"45B Đ. Đào Tông Nguyên, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6831798","106.7483937",,"Thứ Ba","06:00 to 11:00","Thứ Tư","06:00 to 11:00","Thứ Năm","06:00 to 11:00","Thứ Sáu","06:00 to 11:00","Thứ Bảy","06:00 to 11:00","Chủ Nhật","06:00 to 11:00","Thứ Hai","06:00 to 11:00",,"47","Nhà Bè, Hồ Chí Minh","45B Đ. Đào Tông Nguyên","Bún bò huế Gia Hội","5","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20b%C3%B2%20hu%E1%BA%BF%20Gia%20H%E1%BB%99i&query_place_id=ChIJjdf2-bc7dTER8NF_dDhZK50",,"2"
"10, 682367/106 746737, Thành phố Hồ Chí Minh, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","false","https://food.google.com/chooseprovider?restaurantId=/g/11vzpjdtxn&g2lbs=AOHF13mcL-fPGVOh139m2DiutVK7OBEYxHftryETyyvx5VEZSP1lL_Ri0YXYoiReyHIT2fxlFiyXdUtOaY-XCa9MaGU9Ui2xlxQvigl1PYAFQLAvJdZ1CpA%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=gHF6ZqOhEe2Pur8PoImZgAU&ei=gHF6ZqOhEe2Pur8PoImZgAU&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.6823312","106.7467438",,,,,,,,,,,,,,,,,"46","Thành phố Hồ Chí Minh, Hồ Chí Minh","10, 682367/106 746737","Bếp Mẹ Win",,"https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFp%20M%E1%BA%B9%20Win&query_place_id=ChIJVf-eeWw7dTERN_8CVPzf17A",,"0"
"9 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng điểm tâm","false",,,"10.6827384","106.7465083",,"Thứ Ba","06:00 to 11:30, 17:30 to 22:00","Thứ Tư","06:00 to 11:30, 17:30 to 22:00","Thứ Năm","06:00 to 11:30, 17:30 to 22:00","Thứ Sáu","06:00 to 11:30, 17:30 to 22:00","Thứ Bảy","06:00 to 11:30, 17:30 to 22:00","Chủ Nhật","06:00 to 11:30, 17:00 to 22:00","Thứ Hai","06:00 to 11:30, 17:30 to 22:00",,"45","Nhà Bè, Hồ Chí Minh","9 Huỳnh Tấn Phát","Hủ Tiếu Bến Tre 20-25-30k (Thịt,Bò Viên,Trứng Cút,Phèo,Xương,Giò))",,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20Ti%E1%BA%BFu%20B%E1%BA%BFn%20Tre%2020-25-30k%20(Th%E1%BB%8Bt%2CB%C3%B2%20Vi%C3%AAn%2CTr%E1%BB%A9ng%20C%C3%BAt%2CPh%C3%A8o%2CX%C6%B0%C6%A1ng%2CGi%C3%B2))&query_place_id=ChIJh4neXtY7dTERqvR5f09P3z4",,"0"
"22/8 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán mì","true",,,"10.6821787","106.7468945",,"Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"42","Nhà Bè, Hồ Chí Minh","22/8 Huỳnh Tấn Phát","Tiệm Mì Tàu A Vũ","3.8","https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20M%C3%AC%20T%C3%A0u%20A%20V%C5%A9&query_place_id=ChIJPc54usA6dTERkXbjk-ZEJUI",,"4"
"3 Đ. Đào Tông Nguyên, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true","https://food.google.com/chooseprovider?restaurantId=/g/11k44d_l8c&g2lbs=AOHF13lffeD0Ev1PQSOT75r0pAIg5wEYlybXWh9oN213IWj5_dWAhMzS0WOdlLFIEdXua8o1LWRJvLUOq1HmiaA0N4j7FEGdjGZi5r-taYpFa5_CsNCen0I%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=i3F6Zsj8LZCLkPIP0Nm3mAE&ei=i3F6Zsj8LZCLkPIP0Nm3mAE&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.6821354","106.7473048",,"Thứ Ba","06:30 to 19:00","Thứ Tư","06:30 to 19:00","Thứ Năm","06:30 to 19:00","Thứ Sáu","06:30 to 19:00","Thứ Bảy","06:30 to 19:00","Chủ Nhật","06:30 to 19:00","Thứ Hai","06:30 to 19:00",,"26","Nhà Bè, Hồ Chí Minh","3 Đ. Đào Tông Nguyên","Phở Ngọc",,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Ng%E1%BB%8Dc&query_place_id=ChIJSZG0w1g7dTERHBqJS1qDLJw",,"0"
"Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.6864301","106.7439177",,"Thứ Ba","06:00 to 22:00","Thứ Tư","06:00 to 22:00","Thứ Năm","06:00 to 22:00","Thứ Sáu","06:00 to 22:00","Thứ Bảy","06:00 to 22:00","Chủ Nhật","06:00 to 22:00","Thứ Hai","06:00 to 22:00",,"23","Nhà Bè, Hồ Chí Minh","Huỳnh Tấn Phát","COFFE & BEER 2295","4.4","https://www.google.com/maps/search/?api=1&query=COFFE%20%26%20BEER%202295&query_place_id=ChIJybX2FIU7dTER1LHCuuecgj8",,"23"
"MPPV+V9J, Nguyễn Thị Hương, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6872217","106.7434058",,"Thứ Ba","08:00 to 21:00","Thứ Tư","08:00 to 21:00","Thứ Năm","08:00 to 21:00","Thứ Sáu","08:00 to 21:00","Thứ Bảy","08:00 to 21:00","Chủ Nhật","08:00 to 21:00","Thứ Hai","08:00 to 21:00",,"24","Nhà Bè, Hồ Chí Minh","MPPV+V9J, Nguyễn Thị Hương","Quán Bê Thui Nóng Tuấn Mập","3.9","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20B%C3%AA%20Thui%20N%C3%B3ng%20Tu%E1%BA%A5n%20M%E1%BA%ADp&query_place_id=ChIJQ_WPPKo7dTERxmHIOpao9JE",,"81"
"126/33 Đ. Đào Tông Nguyên, Phú Xuân, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.6855047","106.7513493",,"Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày",,"21","Nhà Bè, Hồ Chí Minh","126/33 Đ. Đào Tông Nguyên","Ngoc Minh Restaurant","5","https://www.google.com/maps/search/?api=1&query=Ngoc%20Minh%20Restaurant&query_place_id=ChIJtfgTbOQ7dTERJ_Q71W-9ccs",,"3"
