"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"133/11b Hoà Hưng, Phường 12, Quận 10, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.7778337","106.672206","Thứ Tư","17:00 to 22:00","Thứ Năm","17:00 to 22:00","Thứ Sáu","17:00 to 22:00","Thứ Bảy","17:00 to 22:00","Chủ Nhật","17:00 to 22:00","Thứ Hai","17:00 to 22:00","Thứ Ba","17:00 to 22:00",,"85","Quận 10, Hồ Chí Minh","133/11b Hoà Hưng","NGỘ Tiệm Lẩu Bò Nho Nhỏ","4.3","https://www.google.com/maps/search/?api=1&query=NG%E1%BB%98%20Ti%E1%BB%87m%20L%E1%BA%A9u%20B%C3%B2%20Nho%20Nh%E1%BB%8F&query_place_id=ChIJEyu4I9UvdTERBJRg8ZhbB9U","https://www.facebook.com/lauboNGO","51"
"129a Hoà Hưng, Phường 12, Quận 10, Hồ Chí Minh, Việt Nam","Nhà hàng châu Á","true",,,"10.7783012","106.6722329",,,,,,,,,,,,,,,,"37","Quận 10, Hồ Chí Minh","129a Hoà Hưng","Phở 129","3.5","https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20129&query_place_id=ChIJ_c4wayAvdTERi-ACdV95X6k",,"4"
"84/2a Hoà Hưng, Phường 13, Quận 10, Hồ Chí Minh 700000, Việt Nam","Quán ăn nhỏ","true",,,"10.779877","106.67543","Thứ Tư","05:00 to 10:00","Thứ Năm","05:00 to 10:00","Thứ Sáu","05:00 to 10:00","Thứ Bảy","05:00 to 10:00","Chủ Nhật","05:00 to 10:00","Thứ Hai","05:00 to 10:00","Thứ Ba","05:00 to 10:00",,"98","Quận 10, Hồ Chí Minh","84/2a Hoà Hưng","Cơm Tấm Đầy Trần_Không Chi Nhánh","4.3","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%E1%BA%A5m%20%C4%90%E1%BA%A7y%20Tr%E1%BA%A7n_Kh%C3%B4ng%20Chi%20Nh%C3%A1nh&query_place_id=ChIJewBx99cudTERFlLUvRwc_Ok",,"12"
"824/2 Đ. Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.7756152","106.6677357","Thứ Tư","09:00 to 18:00","Thứ Năm","09:00 to 18:00","Thứ Sáu","09:00 to 18:00","Thứ Bảy","09:00 to 18:00","Chủ Nhật","Đóng cửa","Thứ Hai","09:00 to 18:00","Thứ Ba","09:00 to 18:00",,"87","Quận 10, Hồ Chí Minh","824/2 Đ. Sư Vạn Hạnh","Ping Group (Ping Sheng Feng)","5","https://www.google.com/maps/search/?api=1&query=Ping%20Group%20(Ping%20Sheng%20Feng)&query_place_id=ChIJqchBO-YvdTERxwYMkZlTY6A","http://www.pinggroup.com.vn/","12"
"183 Đ. Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh, Việt Nam","Gian hàng rong","true",,,"10.7748879","106.6738018",,,,,,,,,,,,,,,,"96","Quận 10, Hồ Chí Minh","183 Đ. Cao Thắng","Bánh tráng trộn âm dương","5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20tr%C3%A1ng%20tr%E1%BB%99n%20%C3%A2m%20d%C6%B0%C6%A1ng&query_place_id=ChIJK_LMZn4vdTERJcbJKB4OfhY",,"1"
"69 Hoàng Dư Khương, Phường 12, Quận 10, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa nửa buổi","true",,,"10.7772442","106.6720165",,,,,,,,,,,,,,,,"93","Quận 10, Hồ Chí Minh","69 Hoàng Dư Khương","Bánh xèo cô Nga",,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20x%C3%A8o%20c%C3%B4%20Nga&query_place_id=ChIJX5zHFQAvdTERKM38t3VCGtY",,"0"
"228a Hoà Hưng, Phường 13, Quận 10, Hồ Chí Minh 700000, Việt Nam","Nhà hàng","false","https://food.google.com/chooseprovider?restaurantId=/g/11hyfw4v51&g2lbs=AOHF13l46PpPOTVIV4Ywxb6SyES1wjmJ35p7ppNxbupjc9MYxNpPJ0vv_g0qMj6-T3qr4aedYdUSvFs26p8KfXWuvDWIqRUO8g%3D%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=e9ByZq38F5ikkPIP8LKh6As&ei=e9ByZq38F5ikkPIP8LKh6As&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7786842","106.6727307","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày",,"77","Quận 10, Hồ Chí Minh","228a Hoà Hưng","Xoài Non - Cóc Non - Mắm Ruốc Cường Ngân - Quận 10","4.2","https://www.google.com/maps/search/?api=1&query=Xo%C3%A0i%20Non%20-%20C%C3%B3c%20Non%20-%20M%E1%BA%AFm%20Ru%E1%BB%91c%20C%C6%B0%E1%BB%9Dng%20Ng%C3%A2n%20-%20Qu%E1%BA%ADn%2010&query_place_id=ChIJ-y6vOwsvdTERoCFmX_H3bYs","https://shopeefood.vn/ho-chi-minh/an-uong-vat-cuong-ngan-hoa-hung","20"
"601 Đ. Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.7776181","106.6656498","Thứ Tư","06:00 to 22:00","Thứ Năm","06:00 to 22:00","Thứ Sáu","06:00 to 22:00","Thứ Bảy","06:00 to 22:00","Chủ Nhật","06:00 to 22:00","Thứ Hai","06:00 to 22:00","Thứ Ba","06:00 to 22:00",,"60","Quận 10, Hồ Chí Minh","601 Đ. Sư Vạn Hạnh","CHAULAM milktea","5","https://www.google.com/maps/search/?api=1&query=CHAULAM%20milktea&query_place_id=ChIJE6K21ejXdDERXjmZEI4Zafo",,"22"
"463B/67 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.779491","106.672826","Thứ Tư","06:15 to 11:00","Thứ Năm","06:15 to 11:00","Thứ Sáu","06:15 to 11:00","Thứ Bảy","06:15 to 11:00","Chủ Nhật","06:15 to 11:00","Thứ Hai","06:15 to 11:00","Thứ Ba","06:15 to 11:00",,"97","Quận 10, Hồ Chí Minh","463B/67 Đ. Cách Mạng Tháng 8","Bánh Canh Cá Lóc","4.7","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20Canh%20C%C3%A1%20L%C3%B3c&query_place_id=ChIJQ-6p1tkudTERB_nLDLohJgg",,"10"
"40 Đ. Đồng Nai, Phường 15, Quận 10, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.7786752","106.6630153","Thứ Tư","05:00 to 11:00","Thứ Năm","05:00 to 11:00","Thứ Sáu","05:00 to 11:00","Thứ Bảy","05:00 to 11:00","Chủ Nhật","05:00 to 11:00","Thứ Hai","05:00 to 11:00","Thứ Ba","05:00 to 11:00",,"96","Quận 10, Hồ Chí Minh","40 Đ. Đồng Nai","Cháo lòng chuẩn vị bắc quận 10",,"https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20l%C3%B2ng%20chu%E1%BA%A9n%20v%E1%BB%8B%20b%E1%BA%AFc%20qu%E1%BA%ADn%2010&query_place_id=ChIJ8Xx0vlEvdTER1y1HWsEOk90",,"0"
