"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"1 Nguyễn Thị Thử, Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.8585992","106.5804663","Thứ Ba","10:00 to 22:00","Thứ Tư","10:00 to 22:00","Thứ Năm","10:00 to 22:00","Thứ Sáu","10:00 to 22:00","Thứ Bảy","10:00 to 22:00","Chủ Nhật","10:00 to 22:00","Thứ Hai","10:00 to 22:00",,"36","Hóc Môn, Hồ Chí Minh","1 Nguyễn Thị Thử","Lẩu bò Giáo Sĩ","3","https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20b%C3%B2%20Gi%C3%A1o%20S%C4%A9&query_place_id=ChIJdTQ6hvgrdTERc29ZSr9bhjc",,"2"
"33 Nguyễn Thị Thử, Ấp 3, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng hải sản","false",,,"10.8613045","106.5772622","Thứ Ba","15:00 to 22:00","Thứ Tư","15:00 to 22:00","Thứ Năm","15:00 to 22:00","Thứ Sáu","15:00 to 22:00","Thứ Bảy","15:00 to 22:00","Chủ Nhật","15:00 to 22:00","Thứ Hai","15:00 to 22:00",,"32","Hóc Môn, Hồ Chí Minh","33 Nguyễn Thị Thử","Ốc Na Nguyễn Thị Thử","4.2","https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20Na%20Nguy%E1%BB%85n%20Th%E1%BB%8B%20Th%E1%BB%AD&query_place_id=ChIJoXs1iVArdTERBhEDCfDsLzs",,"66"
"62/6 ấp Xuân Thới Đông 1, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng thịt gà","true",,,"10.8672521","106.5880842","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày",,"28","Hóc Môn, Hồ Chí Minh","62/6 ấp Xuân Thới Đông 1","Ăn Vặt Meo Meo (Gà rán, chân gà sốt thái, sữa chua)","5","https://www.google.com/maps/search/?api=1&query=%C4%82n%20V%E1%BA%B7t%20Meo%20Meo%20(G%C3%A0%20r%C3%A1n%2C%20ch%C3%A2n%20g%C3%A0%20s%E1%BB%91t%20th%C3%A1i%2C%20s%E1%BB%AFa%20chua)&query_place_id=ChIJ06_0IQArdTERxkIZsV7G1ZM",,"5"
"406 Lê Thị Hà, Tân Xuân, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.8817778","106.599048","Thứ Ba","08:00 to 22:00","Thứ Tư","08:00 to 22:00","Thứ Năm","08:00 to 22:00","Thứ Sáu","08:00 to 22:00","Thứ Bảy","08:00 to 22:00","Chủ Nhật","08:00 to 22:00","Thứ Hai","08:00 to 22:00","$$","37","Hóc Môn, Hồ Chí Minh","406 Lê Thị Hà","Nhà Hàng Dê Tươi Vĩnh Lộc 4","4.1","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20D%C3%AA%20T%C6%B0%C6%A1i%20V%C4%A9nh%20L%E1%BB%99c%204&query_place_id=ChIJ4UrxAnYqdTERt59lGTS0ap4","https://detuoivinhloc.net/","517"
"86 ấp 2, Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.853848","106.58327","Thứ Ba","06:00 to 21:30","Thứ Tư","06:00 to 21:30","Thứ Năm","06:00 to 21:30","Thứ Sáu","06:00 to 21:30","Thứ Bảy","06:00 to 21:30","Chủ Nhật","06:00 to 21:30","Thứ Hai","06:00 to 21:30",,"30","Hóc Môn, Hồ Chí Minh","86 ấp 2","Hủ Tíu Nam Vang Tư Hổ",,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20T%C3%ADu%20Nam%20Vang%20T%C6%B0%20H%E1%BB%95&query_place_id=ChIJswX8ymsrdTER-PisD9SpkQk",,"0"
"34 Nguyễn Thị Thử, Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng thịt gà","false",,,"10.8678404","106.5791549","Thứ Ba","09:00 to 21:00","Thứ Tư","09:00 to 22:00","Thứ Năm","09:00 to 22:00","Thứ Sáu","09:00 to 22:00","Thứ Bảy","08:30 to 22:00","Chủ Nhật","08:30 to 22:00","Thứ Hai","09:00 to 22:00","$$","26","Hóc Môn, Hồ Chí Minh","34 Nguyễn Thị Thử","Gà Hấp Hèm 34","4.2","https://www.google.com/maps/search/?api=1&query=G%C3%A0%20H%E1%BA%A5p%20H%C3%A8m%2034&query_place_id=ChIJ02RVfIkqdTERzpedWpuKDLk",,"1270"
"25/8a3 Nguyễn Thị Thử, Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","false",,,"10.8641754","106.5778709","Thứ Ba","10:00 to 23:00","Thứ Tư","10:00 to 23:00","Thứ Năm","10:00 to 23:00","Thứ Sáu","10:00 to 23:00","Thứ Bảy","10:00 to 23:00","Chủ Nhật","10:00 to 23:00","Thứ Hai","10:00 to 23:00",,"27","Hóc Môn, Hồ Chí Minh","25/8a3 Nguyễn Thị Thử","DÊ TƯƠI 3 TÒNG | DÊ TƯƠI HÓC MÔN","4.4","https://www.google.com/maps/search/?api=1&query=D%C3%8A%20T%C6%AF%C6%A0I%203%20T%C3%92NG%20%7C%20D%C3%8A%20T%C6%AF%C6%A0I%20H%C3%93C%20M%C3%94N&query_place_id=ChIJZ3Ig1oArdTERw7mbGafO_kU",,"10"
"3/1E Nguyễn Thị Thử, Ấp 3, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng phở","true",,,"10.8635593","106.5778629","Thứ Ba","07:00 to 20:00","Thứ Tư","07:00 to 20:00","Thứ Năm","07:00 to 20:00","Thứ Sáu","07:00 to 20:00","Thứ Bảy","07:00 to 20:00","Chủ Nhật","07:00 to 20:00","Thứ Hai","07:00 to 20:00",,"25","Hóc Môn, Hồ Chí Minh","3/1E Nguyễn Thị Thử","Phở THÁI","5","https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20TH%C3%81I&query_place_id=ChIJj9pV7dArdTER-xag_IvSv_c",,"4"
"VH4J+3H4, Phan Văn Hớn, Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng phở","true",,,"10.855149","106.5814654","Thứ Ba","06:00 to 23:30","Thứ Tư","06:00 to 23:30","Thứ Năm","06:00 to 00:30","Thứ Sáu","06:00 to 00:30","Thứ Bảy","06:00 to 00:00","Chủ Nhật","06:00 to 00:30","Thứ Hai","06:00 to 23:30","$$","21","Hóc Môn, Hồ Chí Minh","VH4J+3H4, Phan Văn Hớn","Quán Phở Quỳnh","4.1","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Ph%E1%BB%9F%20Qu%E1%BB%B3nh&query_place_id=ChIJf27pBPYqdTERAT7HRP0Jps4",,"134"
"18 tổ 1 Tổ 22 Ấp 6, Đông Thạnh, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng cháo","false",,,"10.8921464","106.6255277","Thứ Ba","05:00 to 08:00","Thứ Tư","05:00 to 20:00","Thứ Năm","05:00 to 20:00","Thứ Sáu","05:00 to 20:00","Thứ Bảy","05:00 to 20:00","Chủ Nhật","05:00 to 20:00","Thứ Hai","05:00 to 20:00",,"76","Hóc Môn, Hồ Chí Minh","18 tổ 1 Tổ 22 Ấp 6","Cháo dinh dưỡng VINA SOUP",,"https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20dinh%20d%C6%B0%E1%BB%A1ng%20VINA%20SOUP&query_place_id=ChIJm5GurjTVdDER73G4mpH7OX4",,"0"
