"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"439 TL8, Phước Vĩnh An, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.9825653","106.5111226","Thứ Ba","10:00 to 21:00","Thứ Tư","10:00 to 21:00","Thứ Năm","10:00 to 21:00","Thứ Sáu","10:00 to 21:00","Thứ Bảy","10:00 to 21:00","Chủ Nhật","10:00 to 21:00","Thứ Hai","10:00 to 21:00",,"97","Củ Chi, Hồ Chí Minh","439 TL8","Quán Cơm Tấm Củ Mì","3.5","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20T%E1%BA%A5m%20C%E1%BB%A7%20M%C3%AC&query_place_id=ChIJW-Nbq4EtCzERdhGkqYduU6E","https://www.facebook.com/profile.php?id=100035742036647","2"
"Ng. Đình Huân, TT. Củ Chi, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","false",,,"10.9746409","106.4911692","Thứ Ba","06:00 to 10:00","Thứ Tư","06:00 to 10:00","Thứ Năm","06:00 to 10:00","Thứ Sáu","06:00 to 10:00","Thứ Bảy","06:00 to 10:00","Chủ Nhật","06:00 to 10:00","Thứ Hai","06:00 to 10:00","$$","93","Củ Chi, Hồ Chí Minh","Ng. Đình Huân","Hủ tiếu Ba Đạt","4.1","https://www.google.com/maps/search/?api=1&query=Hu%CC%89%20ti%C3%AA%CC%81u%20Ba%20%C4%90a%CC%A3t&query_place_id=ChIJwwY9Ln4rCzERo0zFkhuno6o",,"274"
"933 Xuyên Á, Tân An Hội, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.9732087","106.4791189",,,,,,,,,,,,,,,,"91","Củ Chi, Hồ Chí Minh","933 Xuyên Á","Bún riêu Củ Chi",,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20ri%C3%AAu%20C%E1%BB%A7%20Chi&query_place_id=ChIJE1Iu_oYrCzERA444UutdJlk",,"0"
"80 Nguyễn Thị Triệu, TT. Củ Chi, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","true",,,"10.971735","106.4965108","Thứ Ba","07:30 to 22:00","Thứ Tư","07:30 to 22:00","Thứ Năm","07:30 to 22:00","Thứ Sáu","07:30 to 22:00","Thứ Bảy","07:30 to 22:00","Chủ Nhật","07:30 to 22:00","Thứ Hai","07:30 to 22:00",,"78","Củ Chi, Hồ Chí Minh","80 Nguyễn Thị Triệu","GÀ RÁN KITTY","3","https://www.google.com/maps/search/?api=1&query=G%C3%80%20R%C3%81N%20KITTY&query_place_id=ChIJWULIinwrCzER0BTX5EhYgD8",,"4"
"25C Trần Thị Ngần, TT. Củ Chi, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng cho người ăn chay","true",,,"10.983552","106.4971918",,,,,,,,,,,,,,,,"88","Củ Chi, Hồ Chí Minh","25C Trần Thị Ngần","Đậu hũ thành hoa",,"https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BA%ADu%20h%C5%A9%20th%C3%A0nh%20hoa&query_place_id=ChIJ2XSBGAAtCzER3VDDetmQw4U",,"0"
"267 Nguyễn Văn Khạ, Tân An Hội, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"10.9848159","106.4959458","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày",,"79","Củ Chi, Hồ Chí Minh","267 Nguyễn Văn Khạ","Hủ Tíu Đạt",,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20T%C3%ADu%20%C4%90%E1%BA%A1t&query_place_id=ChIJP8J6aQAtCzERE2matjsB-l0",,"0"
"XGH4+WMV, TL8, Phước Vĩnh An, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"10.9798533","106.5066666","Thứ Ba","08:00 to 21:00","Thứ Tư","08:00 to 21:00","Thứ Năm","08:00 to 21:00","Thứ Sáu","08:00 to 21:00","Thứ Bảy","08:00 to 21:00","Chủ Nhật","08:00 to 21:00","Thứ Hai","08:00 to 21:00",,"82","Củ Chi, Hồ Chí Minh","XGH4+WMV, TL8","Gà Quay Bánh Bao Đại Phát 07","5","https://www.google.com/maps/search/?api=1&query=G%C3%A0%20Quay%20B%C3%A1nh%20Bao%20%C4%90%E1%BA%A1i%20Ph%C3%A1t%2007&query_place_id=ChIJh-NDrGgtCzERiJoYxh-j5UQ",,"1"
"04 Nguyễn Văn Tỷ, Khu phố 2, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","false",,,"10.9699623","106.4899927","Thứ Ba","10:30 to 19:30","Thứ Tư","10:30 to 19:30","Thứ Năm","10:30 to 19:30","Thứ Sáu","10:30 to 19:30","Thứ Bảy","10:30 to 19:30","Chủ Nhật","Đóng cửa","Thứ Hai","10:30 to 19:30",,"87","Củ Chi, Hồ Chí Minh","04 Nguyễn Văn Tỷ","Ăn Vặt FaMi","4.3","https://www.google.com/maps/search/?api=1&query=%C4%82n%20V%E1%BA%B7t%20FaMi&query_place_id=ChIJix9uLX8rCzERlOfW-H72b8c","https://www.facebook.com/anvat.fami","11"
"221/11a Nguyễn Văn Khạ, Tân An Hội, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng hải sản","true",,,"10.9815009","106.4924793","Thứ Ba","06:00 to 23:00","Thứ Tư","06:00 to 23:00","Thứ Năm","06:00 to 23:00","Thứ Sáu","06:00 to 23:00","Thứ Bảy","06:00 to 23:00","Chủ Nhật","06:00 to 23:00","Thứ Hai","06:00 to 23:00",,"80","Củ Chi, Hồ Chí Minh","221/11a Nguyễn Văn Khạ","Lê Huyền Trinh chuyên cua Cà Mau",,"https://www.google.com/maps/search/?api=1&query=L%C3%AA%20Huy%E1%BB%81n%20Trinh%20chuy%C3%AAn%20cua%20C%C3%A0%20Mau&query_place_id=ChIJv2AeMIotCzER9Eix5zzvMIs",,"0"
"46 Nguyễn Văn Khạ, TT. Củ Chi, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"10.9735292","106.4889733","Thứ Ba","06:00 to 15:00","Thứ Tư","06:00 to 15:00","Thứ Năm","06:00 to 15:00","Thứ Sáu","06:00 to 15:00","Thứ Bảy","06:00 to 15:00","Chủ Nhật","06:00 to 15:00","Thứ Hai","06:00 to 15:00",,"86","Củ Chi, Hồ Chí Minh","46 Nguyễn Văn Khạ","Hủ Tiếu 46 Nguyễn Văn Khạ","5","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20Ti%E1%BA%BFu%2046%20Nguy%E1%BB%85n%20V%C4%83n%20Kh%E1%BA%A1&query_place_id=ChIJMYBSpj4rCzERuY4X2rZdQFM",,"2"
